date,value
2014-04-28 00:00:00.000000,4.010000
2014-04-29 00:00:00.000000,3.99200012
2014-04-30 00:00:00.000000,4.000000
2014-05-01 00:00:00.000000,4.01200012
2014-05-02 00:00:00.000000,4.01100006
2014-05-06 00:00:00.000000,3.97399994
2014-05-07 00:00:00.000000,4.045000
2014-05-08 00:00:00.000000,4.05600006
2014-05-09 00:00:00.000000,4.050000
2014-05-12 00:00:00.000000,4.07799988
2014-05-13 00:00:00.000000,4.09399994
2014-05-14 00:00:00.000000,4.11799988
2014-05-15 00:00:00.000000,4.165000
2014-05-16 00:00:00.000000,4.14600006
2014-05-19 00:00:00.000000,4.13200012
2014-05-20 00:00:00.000000,4.085000
2014-05-21 00:00:00.000000,4.110000
2014-05-22 00:00:00.000000,4.13200012
2014-05-23 00:00:00.000000,4.15399994
2014-05-27 00:00:00.000000,4.160000
2014-05-28 00:00:00.000000,4.19600006
2014-05-29 00:00:00.000000,4.22299988
2014-05-30 00:00:00.000000,4.23100006
2014-06-02 00:00:00.000000,4.280000
2014-06-03 00:00:00.000000,4.24600006
2014-06-04 00:00:00.000000,4.24200012
2014-06-05 00:00:00.000000,4.23600006
2014-06-06 00:00:00.000000,4.27200012
2014-06-09 00:00:00.000000,4.30600006
2014-06-10 00:00:00.000000,4.30299988
2014-06-11 00:00:00.000000,4.25799988
2014-06-12 00:00:00.000000,4.26799988
2014-06-13 00:00:00.000000,4.26100006
2014-06-16 00:00:00.000000,4.18399994
2014-06-17 00:00:00.000000,4.175000
2014-06-18 00:00:00.000000,4.175000
2014-06-19 00:00:00.000000,4.24200012
2014-06-20 00:00:00.000000,4.280000
2014-06-23 00:00:00.000000,4.23600006
2014-06-24 00:00:00.000000,4.25799988
2014-06-25 00:00:00.000000,4.22899994
2014-06-26 00:00:00.000000,4.250000
2014-06-27 00:00:00.000000,4.31600006
2014-06-30 00:00:00.000000,4.32899994
2014-07-01 00:00:00.000000,4.325000
2014-07-02 00:00:00.000000,4.24700012
2014-07-03 00:00:00.000000,4.27700012
2014-07-04 00:00:00.000000,4.29399994
2014-07-07 00:00:00.000000,4.26399994
2014-07-08 00:00:00.000000,4.200000
2014-07-09 00:00:00.000000,4.16600006
2014-07-10 00:00:00.000000,4.19100006
2014-07-11 00:00:00.000000,4.17399994
2014-07-14 00:00:00.000000,4.180000
2014-07-15 00:00:00.000000,4.16399994
2014-07-16 00:00:00.000000,4.22299988
2014-07-17 00:00:00.000000,4.185000
2014-07-18 00:00:00.000000,4.17200012
2014-07-21 00:00:00.000000,4.200000
2014-07-22 00:00:00.000000,4.23700012
2014-07-23 00:00:00.000000,4.25100006
2014-07-24 00:00:00.000000,4.29100006
2014-07-25 00:00:00.000000,4.27399994
2014-07-28 00:00:00.000000,4.27100006
2014-07-29 00:00:00.000000,4.255000
2014-07-30 00:00:00.000000,4.250000
2014-07-31 00:00:00.000000,4.27799988
2014-08-01 00:00:00.000000,4.26100006
2014-08-04 00:00:00.000000,4.25600006
2014-08-05 00:00:00.000000,4.26600006
2014-08-06 00:00:00.000000,4.22299988
2014-08-07 00:00:00.000000,4.20899994
2014-08-08 00:00:00.000000,4.21399994
2014-08-11 00:00:00.000000,4.28600006
2014-08-12 00:00:00.000000,4.330000
2014-08-13 00:00:00.000000,4.35700012
2014-08-14 00:00:00.000000,4.370000
2014-08-15 00:00:00.000000,4.370000
2014-08-18 00:00:00.000000,4.38799988
2014-08-19 00:00:00.000000,4.390000
2014-08-20 00:00:00.000000,4.39299988
2014-08-21 00:00:00.000000,4.41799988
2014-08-22 00:00:00.000000,4.39100006
2014-08-26 00:00:00.000000,4.410000
2014-08-27 00:00:00.000000,4.43100006
2014-08-28 00:00:00.000000,4.42799988
2014-08-29 00:00:00.000000,4.45100006
2014-09-01 00:00:00.000000,4.560000
2014-09-02 00:00:00.000000,4.55299988
2014-09-03 00:00:00.000000,4.535000
2014-09-04 00:00:00.000000,4.55399994
2014-09-05 00:00:00.000000,4.55799988
2014-09-08 00:00:00.000000,4.50700012
2014-09-09 00:00:00.000000,4.52600006
2014-09-10 00:00:00.000000,4.550000
2014-09-11 00:00:00.000000,4.570000
2014-09-12 00:00:00.000000,4.590000
2014-09-15 00:00:00.000000,4.58100006
2014-09-16 00:00:00.000000,4.56700012
2014-09-17 00:00:00.000000,4.610000
2014-09-18 00:00:00.000000,4.67600006
2014-09-19 00:00:00.000000,4.71700012
2014-09-22 00:00:00.000000,4.75100006
2014-09-23 00:00:00.000000,4.66700012
2014-09-24 00:00:00.000000,4.66399994
2014-09-25 00:00:00.000000,4.62799988
2014-09-26 00:00:00.000000,4.69299988
2014-09-29 00:00:00.000000,4.70200012
2014-09-30 00:00:00.000000,4.715000
2014-10-01 00:00:00.000000,4.63200012
2014-10-02 00:00:00.000000,4.53799988
2014-10-03 00:00:00.000000,4.60200012
2014-10-06 00:00:00.000000,4.61600006
2014-10-07 00:00:00.000000,4.505000
2014-10-08 00:00:00.000000,4.51799988
2014-10-09 00:00:00.000000,4.42899994
2014-10-10 00:00:00.000000,4.44700012
2014-10-13 00:00:00.000000,4.45100006
2014-10-14 00:00:00.000000,4.48600006
2014-10-15 00:00:00.000000,4.37200012
2014-10-16 00:00:00.000000,4.39899994
2014-10-17 00:00:00.000000,4.43899994
2014-10-20 00:00:00.000000,4.40799988
2014-10-21 00:00:00.000000,4.44600006
2014-10-22 00:00:00.000000,4.49299988
2014-10-23 00:00:00.000000,4.43700012
2014-10-24 00:00:00.000000,4.415000
2014-10-27 00:00:00.000000,4.42399994
2014-10-28 00:00:00.000000,4.42600006
2014-10-29 00:00:00.000000,4.46100006
2014-10-30 00:00:00.000000,4.520000
2014-10-31 00:00:00.000000,4.58700012
2014-11-03 00:00:00.000000,4.57700012
2014-11-04 00:00:00.000000,4.510000
2014-11-05 00:00:00.000000,4.54799988
2014-11-06 00:00:00.000000,4.56200012
2014-11-07 00:00:00.000000,4.56700012
2014-11-10 00:00:00.000000,4.620000
2014-11-11 00:00:00.000000,4.625000
2014-11-12 00:00:00.000000,4.60600006
2014-11-13 00:00:00.000000,4.60200012
2014-11-14 00:00:00.000000,4.60100006
2014-11-17 00:00:00.000000,4.61399994
2014-11-18 00:00:00.000000,4.62799988
2014-11-19 00:00:00.000000,4.630000
