date,value
2014-04-01 00:00:00.000000,151.9965
2014-04-02 00:00:00.000000,152.2265
2014-04-03 00:00:00.000000,151.9421
2014-04-04 00:00:00.000000,152.9425
2014-04-07 00:00:00.000000,151.3170
2014-04-08 00:00:00.000000,150.3173
2014-04-09 00:00:00.000000,151.4281
2014-04-10 00:00:00.000000,151.5282
2014-04-11 00:00:00.000000,149.6403
2014-04-14 00:00:00.000000,149.7485
2014-04-15 00:00:00.000000,148.7873
2014-04-16 00:00:00.000000,149.9081
2014-04-17 00:00:00.000000,150.9300
2014-04-22 00:00:00.000000,152.2486
2014-04-23 00:00:00.000000,152.1617
2014-04-24 00:00:00.000000,152.6924
2014-04-25 00:00:00.000000,152.1984
2014-04-28 00:00:00.000000,152.3803
2014-04-29 00:00:00.000000,153.7971
2014-04-30 00:00:00.000000,154.0128
2014-05-01 00:00:00.000000,154.5999
2014-05-02 00:00:00.000000,154.9723
2014-05-06 00:00:00.000000,154.5362
2014-05-07 00:00:00.000000,154.5389
2014-05-08 00:00:00.000000,155.4861
2014-05-09 00:00:00.000000,154.8894
2014-05-12 00:00:00.000000,155.7329
2014-05-13 00:00:00.000000,156.2311
2014-05-14 00:00:00.000000,156.5489
2014-05-15 00:00:00.000000,155.2795
2014-05-16 00:00:00.000000,155.2118
2014-05-19 00:00:00.000000,154.9623
2014-05-20 00:00:00.000000,154.2257
2014-05-21 00:00:00.000000,154.9460
2014-05-22 00:00:00.000000,155.0467
2014-05-23 00:00:00.000000,155.0285
2014-05-27 00:00:00.000000,155.7845
2014-05-28 00:00:00.000000,156.0949
2014-05-29 00:00:00.000000,156.5222
2014-05-30 00:00:00.000000,156.1052
2014-06-02 00:00:00.000000,156.6061
2014-06-03 00:00:00.000000,155.9054
2014-06-04 00:00:00.000000,155.7133
2014-06-05 00:00:00.000000,155.6174
2014-06-06 00:00:00.000000,156.8181
2014-06-09 00:00:00.000000,157.1201
2014-06-10 00:00:00.000000,157.0783
2014-06-11 00:00:00.000000,156.4164
2014-06-12 00:00:00.000000,156.5397
2014-06-13 00:00:00.000000,154.8242
2014-06-16 00:00:00.000000,154.2124
2014-06-17 00:00:00.000000,154.2304
2014-06-18 00:00:00.000000,154.5574
2014-06-19 00:00:00.000000,155.2094
2014-06-20 00:00:00.000000,155.7042
2014-06-23 00:00:00.000000,155.0555
2014-06-24 00:00:00.000000,154.5985
2014-06-25 00:00:00.000000,153.4843
2014-06-26 00:00:00.000000,153.8076
2014-06-27 00:00:00.000000,154.2979
2014-06-30 00:00:00.000000,154.1177
2014-07-01 00:00:00.000000,155.4078
2014-07-02 00:00:00.000000,155.7911
2014-07-03 00:00:00.000000,156.9408
2014-07-04 00:00:00.000000,156.9701
2014-07-07 00:00:00.000000,155.9407
2014-07-08 00:00:00.000000,153.9581
2014-07-09 00:00:00.000000,153.4268
2014-07-10 00:00:00.000000,152.3822
2014-07-11 00:00:00.000000,152.7187
2014-07-14 00:00:00.000000,153.9616
2014-07-15 00:00:00.000000,153.0799
2014-07-16 00:00:00.000000,154.7548
2014-07-17 00:00:00.000000,153.8028
2014-07-18 00:00:00.000000,154.0010
2014-07-21 00:00:00.000000,153.4886
2014-07-22 00:00:00.000000,154.9932
2014-07-23 00:00:00.000000,155.2115
2014-07-24 00:00:00.000000,155.6937
2014-07-25 00:00:00.000000,155.0459
2014-07-28 00:00:00.000000,154.8647
2014-07-29 00:00:00.000000,155.3476
2014-07-30 00:00:00.000000,154.6277
2014-07-31 00:00:00.000000,153.6091
2014-08-01 00:00:00.000000,152.4677
2014-08-04 00:00:00.000000,152.3785
2014-08-05 00:00:00.000000,152.4555
2014-08-06 00:00:00.000000,151.7097
2014-08-07 00:00:00.000000,150.9339
2014-08-08 00:00:00.000000,150.3625
2014-08-11 00:00:00.000000,151.9367
2014-08-12 00:00:00.000000,151.9458
2014-08-13 00:00:00.000000,152.9388
2014-08-14 00:00:00.000000,153.7108
2014-08-15 00:00:00.000000,153.7743
2014-08-18 00:00:00.000000,154.9572
2014-08-19 00:00:00.000000,155.8481
2014-08-20 00:00:00.000000,155.4013
2014-08-21 00:00:00.000000,155.9449
2014-08-22 00:00:00.000000,155.9648
2014-08-26 00:00:00.000000,157.0483
2014-08-27 00:00:00.000000,157.3068
2014-08-28 00:00:00.000000,156.6572
2014-08-29 00:00:00.000000,156.8821
2014-09-01 00:00:00.000000,157.0975
2014-09-02 00:00:00.000000,157.1874
2014-09-03 00:00:00.000000,158.2052
2014-09-04 00:00:00.000000,158.2847
2014-09-05 00:00:00.000000,157.7453
2014-09-08 00:00:00.000000,157.1330
2014-09-09 00:00:00.000000,157.0475
2014-09-10 00:00:00.000000,156.9224
2014-09-11 00:00:00.000000,156.2494
2014-09-12 00:00:00.000000,156.5372
2014-09-15 00:00:00.000000,156.3780
2014-09-16 00:00:00.000000,156.0460
2014-09-17 00:00:00.000000,155.8170
2014-09-18 00:00:00.000000,156.7602
2014-09-19 00:00:00.000000,157.3413
2014-09-22 00:00:00.000000,155.9290
2014-09-23 00:00:00.000000,153.7591
2014-09-24 00:00:00.000000,154.3875
2014-09-25 00:00:00.000000,152.9555
2014-09-26 00:00:00.000000,153.0578
2014-09-29 00:00:00.000000,153.0142
2014-09-30 00:00:00.000000,152.5373
2014-10-01 00:00:00.000000,151.0529
2014-10-02 00:00:00.000000,148.6046
2014-10-03 00:00:00.000000,150.4950
2014-10-06 00:00:00.000000,151.2524
2014-10-07 00:00:00.000000,149.6679
2014-10-08 00:00:00.000000,149.1224
2014-10-09 00:00:00.000000,148.0040
2014-10-10 00:00:00.000000,145.9715
2014-10-13 00:00:00.000000,146.2765
2014-10-14 00:00:00.000000,146.9716
2014-10-15 00:00:00.000000,143.1297
2014-10-16 00:00:00.000000,142.8985
2014-10-17 00:00:00.000000,145.5295
2014-10-20 00:00:00.000000,144.7279
2014-10-21 00:00:00.000000,147.1593
2014-10-22 00:00:00.000000,147.9180
2014-10-23 00:00:00.000000,148.4009
2014-10-24 00:00:00.000000,147.7624
2014-10-27 00:00:00.000000,147.2075
2014-10-28 00:00:00.000000,148.0791
