date,value
2014-04-01 23:59:59.000000,193.6473
2014-04-02 23:59:59.000000,194.1501
2014-04-03 23:59:59.000000,194.5126
2014-04-04 23:59:59.000000,193.3048
2014-04-07 23:59:59.000000,191.1404
2014-04-08 23:59:59.000000,190.0402
2014-04-09 23:59:59.000000,191.3789
2014-04-10 23:59:59.000000,188.7570
2014-04-11 23:59:59.000000,187.4668
2014-04-14 23:59:59.000000,187.9583
2014-04-15 23:59:59.000000,188.3849
2014-04-16 23:59:59.000000,189.7803
2014-04-17 23:59:59.000000,190.0814
2014-04-22 23:59:59.000000,191.2692
2014-04-23 23:59:59.000000,191.5557
2014-04-24 23:59:59.000000,191.4515
2014-04-25 23:59:59.000000,190.0421
2014-04-28 23:59:59.000000,190.2467
2014-04-29 23:59:59.000000,190.7830
2014-04-30 23:59:59.000000,190.9571
2014-05-01 23:59:59.000000,191.1236
2014-05-02 23:59:59.000000,191.2324
2014-05-06 23:59:59.000000,189.2341
2014-05-07 23:59:59.000000,189.6377
2014-05-08 23:59:59.000000,190.1091
2014-05-09 23:59:59.000000,191.1911
2014-05-12 23:59:59.000000,192.1508
2014-05-13 23:59:59.000000,192.9895
2014-05-14 23:59:59.000000,193.4838
2014-05-15 23:59:59.000000,191.8407
2014-05-16 23:59:59.000000,191.5478
2014-05-19 23:59:59.000000,191.9070
2014-05-20 23:59:59.000000,190.8411
2014-05-21 23:59:59.000000,191.4566
2014-05-22 23:59:59.000000,192.4630
2014-05-23 23:59:59.000000,193.4224
2014-05-27 23:59:59.000000,195.0443
2014-05-28 23:59:59.000000,196.1485
2014-05-29 23:59:59.000000,196.8507
2014-05-30 23:59:59.000000,196.3763
2014-06-02 23:59:59.000000,196.8726
2014-06-03 23:59:59.000000,197.0170
2014-06-04 23:59:59.000000,197.1199
2014-06-05 23:59:59.000000,197.6091
2014-06-06 23:59:59.000000,198.6215
2014-06-09 23:59:59.000000,198.7049
2014-06-10 23:59:59.000000,199.0852
2014-06-11 23:59:59.000000,198.3639
2014-06-12 23:59:59.000000,196.9674
2014-06-13 23:59:59.000000,195.7869
2014-06-16 23:59:59.000000,195.4673
2014-06-17 23:59:59.000000,195.8573
2014-06-18 23:59:59.000000,197.3265
2014-06-19 23:59:59.000000,197.1186
2014-06-20 23:59:59.000000,197.3301
2014-06-23 23:59:59.000000,197.4234
2014-06-24 23:59:59.000000,196.9815
2014-06-25 23:59:59.000000,197.0257
2014-06-26 23:59:59.000000,196.7098
2014-06-27 23:59:59.000000,196.9303
2014-06-30 23:59:59.000000,196.2928
2014-07-01 23:59:59.000000,197.0085
2014-07-02 23:59:59.000000,196.8764
2014-07-03 23:59:59.000000,197.9137
2014-07-04 23:59:59.000000,197.7915
2014-07-07 23:59:59.000000,197.1172
2014-07-08 23:59:59.000000,195.8953
2014-07-09 23:59:59.000000,196.1974
2014-07-10 23:59:59.000000,195.2685
2014-07-11 23:59:59.000000,195.4799
2014-07-14 23:59:59.000000,196.8088
2014-07-15 23:59:59.000000,195.5901
2014-07-16 23:59:59.000000,196.5983
2014-07-17 23:59:59.000000,195.4225
2014-07-18 23:59:59.000000,196.7879
2014-07-21 23:59:59.000000,196.3806
2014-07-22 23:59:59.000000,197.5944
2014-07-23 23:59:59.000000,198.1878
2014-07-24 23:59:59.000000,199.2375
2014-07-25 23:59:59.000000,198.3726
2014-07-28 23:59:59.000000,198.0949
2014-07-29 23:59:59.000000,198.3005
2014-07-30 23:59:59.000000,198.5204
2014-07-31 23:59:59.000000,195.7285
2014-08-01 23:59:59.000000,195.3345
2014-08-04 23:59:59.000000,195.9052
2014-08-05 23:59:59.000000,194.0094
2014-08-06 23:59:59.000000,193.9758
2014-08-07 23:59:59.000000,192.9375
2014-08-08 23:59:59.000000,194.1929
2014-08-11 23:59:59.000000,195.5765
2014-08-12 23:59:59.000000,195.1611
2014-08-13 23:59:59.000000,197.7073
2014-08-14 23:59:59.000000,198.6605
2014-08-15 23:59:59.000000,198.4868
2014-08-18 23:59:59.000000,199.4301
2014-08-19 23:59:59.000000,201.7311
2014-08-20 23:59:59.000000,201.5151
2014-08-21 23:59:59.000000,202.8176
2014-08-22 23:59:59.000000,202.4948
2014-08-26 23:59:59.000000,203.9310
2014-08-27 23:59:59.000000,204.0682
2014-08-28 23:59:59.000000,203.3932
2014-08-29 23:59:59.000000,203.5226
2014-09-01 23:59:59.000000,203.3755
2014-09-02 23:59:59.000000,204.6200
2014-09-03 23:59:59.000000,205.8965
2014-09-04 23:59:59.000000,206.2250
2014-09-05 23:59:59.000000,207.5656
2014-09-08 23:59:59.000000,209.0674
2014-09-09 23:59:59.000000,208.4381
2014-09-10 23:59:59.000000,208.1999
2014-09-11 23:59:59.000000,207.1856
2014-09-12 23:59:59.000000,206.3008
2014-09-15 23:59:59.000000,205.8846
2014-09-16 23:59:59.000000,206.8708
2014-09-17 23:59:59.000000,205.8151
2014-09-18 23:59:59.000000,205.7093
2014-09-19 23:59:59.000000,206.4589
2014-09-22 23:59:59.000000,204.6183
2014-09-23 23:59:59.000000,203.1815
2014-09-24 23:59:59.000000,204.2073
2014-09-25 23:59:59.000000,202.1182
2014-09-26 23:59:59.000000,203.9026
2014-09-29 23:59:59.000000,203.1752
2014-09-30 23:59:59.000000,203.1310
2014-10-01 23:59:59.000000,200.9313
2014-10-02 23:59:59.000000,200.8775
2014-10-03 23:59:59.000000,203.7233
2014-10-06 23:59:59.000000,203.5536
2014-10-07 23:59:59.000000,200.3516
2014-10-08 23:59:59.000000,201.9844
2014-10-09 23:59:59.000000,198.3377
2014-10-10 23:59:59.000000,196.9330
2014-10-13 23:59:59.000000,194.8411
2014-10-14 23:59:59.000000,196.2743
2014-10-15 23:59:59.000000,194.4956
2014-10-16 23:59:59.000000,193.0930
2014-10-17 23:59:59.000000,194.3371
2014-10-20 23:59:59.000000,195.7450
2014-10-21 23:59:59.000000,198.5883
2014-10-22 23:59:59.000000,199.2411
2014-10-23 23:59:59.000000,201.0350
2014-10-24 23:59:59.000000,201.4520
2014-10-27 23:59:59.000000,200.7501
2014-10-28 23:59:59.000000,202.5566
2014-10-29 23:59:59.000000,202.9026
2014-10-30 23:59:59.000000,204.9651
2014-10-31 23:59:59.000000,207.4973
2014-11-03 23:59:59.000000,206.7268
2014-11-04 23:59:59.000000,206.3171
2014-11-05 23:59:59.000000,207.5670
2014-11-06 23:59:59.000000,208.7298
2014-11-07 23:59:59.000000,209.4538
2014-11-10 23:59:59.000000,210.0471
2014-11-11 23:59:59.000000,210.2111
2014-11-12 23:59:59.000000,210.7044
2014-11-13 23:59:59.000000,212.1752
2014-11-14 23:59:59.000000,213.5459
2014-11-17 23:59:59.000000,213.1303
2014-11-18 23:59:59.000000,214.9199
2014-11-19 23:59:59.000000,214.1465
2014-11-20 23:59:59.000000,213.7024
2014-11-21 23:59:59.000000,215.4526
2014-11-24 23:59:59.000000,215.6516
2014-11-25 23:59:59.000000,215.6206
2014-11-26 23:59:59.000000,215.3386
2014-11-27 23:59:59.000000,215.9846
2014-11-28 23:59:59.000000,216.2724
2014-12-01 23:59:59.000000,214.2468
2014-12-02 23:59:59.000000,215.8641
2014-12-03 23:59:59.000000,215.5223
2014-12-04 23:59:59.000000,215.4513
2014-12-05 23:59:59.000000,217.1322
2014-12-08 23:59:59.000000,215.3347
2014-12-09 23:59:59.000000,214.1115
2014-12-10 23:59:59.000000,210.9757
2014-12-11 23:59:59.000000,211.0716
2014-12-12 23:59:59.000000,208.3462
2014-12-15 23:59:59.000000,207.1766
2014-12-16 23:59:59.000000,205.2557
2014-12-17 23:59:59.000000,208.6114
2014-12-18 23:59:59.000000,212.8636
2014-12-19 23:59:59.000000,214.2061
2014-12-22 23:59:59.000000,215.0849
2014-12-23 23:59:59.000000,216.6828
2014-12-24 23:59:59.000000,216.5519
2014-12-29 23:59:59.000000,217.5742
2014-12-30 23:59:59.000000,215.9009
2014-12-31 23:59:59.000000,213.8695
2015-01-02 23:59:59.000000,216.3548
2015-01-05 23:59:59.000000,214.4711
2015-01-06 23:59:59.000000,213.3085
2015-01-07 23:59:59.000000,215.8995
2015-01-08 23:59:59.000000,219.6463
2015-01-09 23:59:59.000000,217.4360
2015-01-12 23:59:59.000000,216.6629
2015-01-13 23:59:59.000000,216.1971
2015-01-14 23:59:59.000000,214.3010
2015-01-15 23:59:59.000000,214.3343
2015-01-16 23:59:59.000000,216.6444
2015-01-19 23:59:59.000000,216.8227
2015-01-20 23:59:59.000000,216.6919
2015-01-21 23:59:59.000000,218.8651
2015-01-22 23:59:59.000000,221.3280
2015-01-23 23:59:59.000000,221.8603
2015-01-26 23:59:59.000000,222.0342
2015-01-27 23:59:59.000000,218.8856
2015-01-28 23:59:59.000000,217.0257
2015-01-29 23:59:59.000000,219.2682
2015-01-30 23:59:59.000000,218.1247
2015-02-02 23:59:59.000000,220.0405
2015-02-03 23:59:59.000000,221.4139
2015-02-04 23:59:59.000000,219.9989
2015-02-05 23:59:59.000000,220.4405
2015-02-06 23:59:59.000000,219.9013
2015-02-09 23:59:59.000000,219.4579
2015-02-10 23:59:59.000000,220.7529
2015-02-11 23:59:59.000000,220.1126
2015-02-12 23:59:59.000000,221.1768
2015-02-13 23:59:59.000000,222.1858
2015-02-16 23:59:59.000000,222.5813
2015-02-17 23:59:59.000000,223.4359
2015-02-18 23:59:59.000000,222.2457
2015-02-19 23:59:59.000000,222.7217
2015-02-20 23:59:59.000000,224.7217
2015-02-23 23:59:59.000000,223.7416
2015-02-24 23:59:59.000000,224.2038
2015-02-25 23:59:59.000000,224.0763
2015-02-26 23:59:59.000000,224.9793
2015-02-27 23:59:59.000000,224.0824
2015-03-02 23:59:59.000000,226.0689
2015-03-03 23:59:59.000000,225.0959
2015-03-04 23:59:59.000000,225.6007
2015-03-05 23:59:59.000000,226.4379
2015-03-06 23:59:59.000000,226.4887
2015-03-09 23:59:59.000000,225.9175
2015-03-10 23:59:59.000000,222.5428
2015-03-11 23:59:59.000000,224.4940
2015-03-12 23:59:59.000000,227.5639
2015-03-13 23:59:59.000000,228.9857
2015-03-16 23:59:59.000000,230.7851
2015-03-17 23:59:59.000000,231.2230
2015-03-18 23:59:59.000000,234.4914
2015-03-19 23:59:59.000000,233.3703
2015-03-20 23:59:59.000000,233.1722
2015-03-23 23:59:59.000000,233.4693
2015-03-24 23:59:59.000000,233.8903
2015-03-25 23:59:59.000000,231.0415
2015-03-26 23:59:59.000000,230.8193
2015-03-27 23:59:59.000000,230.4900
2015-03-30 23:59:59.000000,233.4143
2015-03-31 23:59:59.000000,230.7614
2015-04-01 23:59:59.000000,230.7842
2015-04-02 23:59:59.000000,232.1451
2015-04-07 23:59:59.000000,233.2114
2015-04-08 23:59:59.000000,232.8984
2015-04-09 23:59:59.000000,236.5918
2015-04-10 23:59:59.000000,238.9694
2015-04-13 23:59:59.000000,238.2105
2015-04-14 23:59:59.000000,236.7541
2015-04-15 23:59:59.000000,237.6473
2015-04-16 23:59:59.000000,235.9160
2015-04-17 23:59:59.000000,232.6492
2015-04-20 23:59:59.000000,234.6640
2015-04-21 23:59:59.000000,234.8496
2015-04-22 23:59:59.000000,233.7846
2015-04-23 23:59:59.000000,234.2828
2015-04-24 23:59:59.000000,233.4310
2015-04-27 23:59:59.000000,232.8548
2015-04-28 23:59:59.000000,231.4761
2015-04-29 23:59:59.000000,228.5629
2015-04-30 23:59:59.000000,227.5282
2015-05-01 23:59:59.000000,231.7362
2015-05-05 23:59:59.000000,229.8935
2015-05-06 23:59:59.000000,228.8223
2015-05-07 23:59:59.000000,229.2502
2015-05-08 23:59:59.000000,228.6783
2015-05-11 23:59:59.000000,225.8835
2015-05-12 23:59:59.000000,224.0140
2015-05-13 23:59:59.000000,223.8032
2015-05-14 23:59:59.000000,225.0838
2015-05-15 23:59:59.000000,225.0969
2015-05-18 23:59:59.000000,227.0382
2015-05-19 23:59:59.000000,229.2257
2015-05-20 23:59:59.000000,228.4055
2015-05-21 23:59:59.000000,227.4411
2015-05-22 23:59:59.000000,229.1745
2015-05-26 23:59:59.000000,228.2912
2015-05-27 23:59:59.000000,230.4895
2015-05-28 23:59:59.000000,230.8666
2015-05-29 23:59:59.000000,229.9041
2015-06-01 23:59:59.000000,230.6641
2015-06-02 23:59:59.000000,229.3671
2015-06-03 23:59:59.000000,230.2746
2015-06-04 23:59:59.000000,228.0159
2015-06-05 23:59:59.000000,228.0194
2015-06-08 23:59:59.000000,226.4566
2015-06-09 23:59:59.000000,225.7192
2015-06-10 23:59:59.000000,225.3670
2015-06-11 23:59:59.000000,226.4020
2015-06-12 23:59:59.000000,224.2292
2015-06-15 23:59:59.000000,223.0101
2015-06-16 23:59:59.000000,222.5735
2015-06-17 23:59:59.000000,221.1357
2015-06-18 23:59:59.000000,221.0105
2015-06-19 23:59:59.000000,220.2029
2015-06-22 23:59:59.000000,223.7455
2015-06-23 23:59:59.000000,225.1838
2015-06-24 23:59:59.000000,223.9441
2015-06-25 23:59:59.000000,223.3488
2015-06-26 23:59:59.000000,222.7325
2015-06-29 23:59:59.000000,217.7015
2015-06-30 23:59:59.000000,218.0484
2015-07-01 23:59:59.000000,220.8668
2015-07-02 23:59:59.000000,221.2077
2015-07-03 23:59:59.000000,221.0178
2015-07-06 23:59:59.000000,219.0050
2015-07-07 23:59:59.000000,221.5283
2015-07-08 23:59:59.000000,219.8133
2015-07-09 23:59:59.000000,220.5397
2015-07-10 23:59:59.000000,221.8485
2015-07-13 23:59:59.000000,223.5223
2015-07-14 23:59:59.000000,224.2342
2015-07-15 23:59:59.000000,223.4169
2015-07-16 23:59:59.000000,225.5435
2015-07-17 23:59:59.000000,224.7634
2015-07-20 23:59:59.000000,225.5824
2015-07-21 23:59:59.000000,225.5443
2015-07-22 23:59:59.000000,223.1584
2015-07-23 23:59:59.000000,224.3466
2015-07-24 23:59:59.000000,222.5423
2015-07-27 23:59:59.000000,220.0461
2015-07-28 23:59:59.000000,221.6269
2015-07-29 23:59:59.000000,222.1695
2015-07-30 23:59:59.000000,222.5168
2015-07-31 23:59:59.000000,223.3400
2015-08-03 23:59:59.000000,222.5873
2015-08-04 23:59:59.000000,222.5974
2015-08-05 23:59:59.000000,222.7850
2015-08-06 23:59:59.000000,223.1243
2015-08-07 23:59:59.000000,223.0387
2015-08-10 23:59:59.000000,224.4382
2015-08-11 23:59:59.000000,221.9120
2015-08-12 23:59:59.000000,220.1817
2015-08-13 23:59:59.000000,220.9300
2015-08-14 23:59:59.000000,220.9323
2015-08-17 23:59:59.000000,221.7315
2015-08-18 23:59:59.000000,220.3127
2015-08-19 23:59:59.000000,218.3150
2015-08-20 23:59:59.000000,214.2392
2015-08-21 23:59:59.000000,208.4703
2015-08-24 23:59:59.000000,199.9555
2015-08-25 23:59:59.000000,199.2474
2015-08-26 23:59:59.000000,206.3272
2015-08-27 23:59:59.000000,212.6885
2015-08-28 23:59:59.000000,214.0492
2015-09-01 23:59:59.000000,207.0727
2015-09-02 23:59:59.000000,209.4932
2015-09-03 23:59:59.000000,211.1619
2015-09-04 23:59:59.000000,208.6202
