date,value
2010-11-15 23:59:59.000000,5.2099
2012-06-29 23:59:59.000000,0
2012-07-02 23:59:59.000000,1.124
2012-07-03 23:59:59.000000,1.131
2012-07-04 23:59:59.000000,1.139
2012-07-05 23:59:59.000000,1.144
2012-07-06 23:59:59.000000,1.144
2012-07-09 23:59:59.000000,1.141
2012-07-10 23:59:59.000000,1.146
2012-07-11 23:59:59.000000,1.136
2012-07-12 23:59:59.000000,1.132
2012-07-13 23:59:59.000000,1.145
2012-07-16 23:59:59.000000,1.146
2012-07-17 23:59:59.000000,1.148
2012-07-18 23:59:59.000000,1.156
2012-07-19 23:59:59.000000,1.152
2012-07-20 23:59:59.000000,1.143
2012-07-23 23:59:59.000000,1.136
2012-07-24 23:59:59.000000,1.138
2012-07-25 23:59:59.000000,1.138
2012-07-26 23:59:59.000000,1.144
2012-07-27 23:59:59.000000,1.139
2012-07-30 23:59:59.000000,1.152
2012-07-31 23:59:59.000000,1.159
2012-08-01 23:59:59.000000,1.164
2012-08-02 23:59:59.000000,1.167
2012-08-03 23:59:59.000000,1.173
2012-08-06 23:59:59.000000,1.179
2012-08-07 23:59:59.000000,1.173
2012-08-08 23:59:59.000000,1.164
2012-08-09 23:59:59.000000,1.161
2012-08-10 23:59:59.000000,1.159
2012-08-13 23:59:59.000000,1.155
2012-08-14 23:59:59.000000,1.156
2012-08-15 23:59:59.000000,1.152
2012-08-16 23:59:59.000000,1.155
2012-08-17 23:59:59.000000,1.163
2012-08-20 23:59:59.000000,1.162
2012-08-21 23:59:59.000000,1.157
2012-08-22 23:59:59.000000,1.154
2012-08-23 23:59:59.000000,1.152
2012-08-24 23:59:59.000000,1.148
2012-08-28 23:59:59.000000,1.154
2012-08-29 23:59:59.000000,1.156
2012-08-30 23:59:59.000000,1.145
2012-08-31 23:59:59.000000,1.148
2012-09-03 23:59:59.000000,1.147
2012-09-04 23:59:59.000000,1.146
2012-09-05 23:59:59.000000,1.146
2012-09-06 23:59:59.000000,1.153
2012-09-07 23:59:59.000000,1.163
2012-09-10 23:59:59.000000,1.155
2012-09-11 23:59:59.000000,1.151
2012-09-12 23:59:59.000000,1.155
2012-09-13 23:59:59.000000,1.156
2012-09-14 23:59:59.000000,1.168
2012-09-17 23:59:59.000000,1.169
2012-09-18 23:59:59.000000,1.162
2012-09-19 23:59:59.000000,1.16
2012-09-20 23:59:59.000000,1.155
2012-09-21 23:59:59.000000,1.144
2012-09-24 23:59:59.000000,1.143
2012-09-25 23:59:59.000000,1.146
2012-09-26 23:59:59.000000,1.14
2012-09-27 23:59:59.000000,1.142
2012-09-28 23:59:59.000000,1.145
2012-10-01 23:59:59.000000,1.144
2012-10-02 23:59:59.000000,1.143
2012-10-03 23:59:59.000000,1.147
2012-10-04 23:59:59.000000,1.152
2012-10-05 23:59:59.000000,1.149
2012-10-08 23:59:59.000000,1.155
2012-10-09 23:59:59.000000,1.158
2012-10-10 23:59:59.000000,1.155
2012-10-11 23:59:59.000000,1.154
2012-10-12 23:59:59.000000,1.155
2012-10-15 23:59:59.000000,1.155
2012-10-16 23:59:59.000000,1.159
2012-10-17 23:59:59.000000,1.163
2012-10-18 23:59:59.000000,1.165
2012-10-19 23:59:59.000000,1.174
2012-10-22 23:59:59.000000,1.17
2012-10-23 23:59:59.000000,1.163
2012-10-24 23:59:59.000000,1.163
2012-10-25 23:59:59.000000,1.161
2012-10-26 23:59:59.000000,1.149
2012-10-29 23:59:59.000000,1.149
2012-10-31 23:59:59.000000,1.156
2012-11-01 23:59:59.000000,1.155
2012-11-02 23:59:59.000000,1.166
2012-11-05 23:59:59.000000,1.175
2012-11-06 23:59:59.000000,1.174
2012-11-07 23:59:59.000000,1.178
2012-11-08 23:59:59.000000,1.169
2012-11-09 23:59:59.000000,1.159
2012-11-12 23:59:59.000000,1.162
2012-11-13 23:59:59.000000,1.153
2012-11-14 23:59:59.000000,1.161
2012-11-15 23:59:59.000000,1.147
2012-11-16 23:59:59.000000,1.143
2012-11-19 23:59:59.000000,1.152
2012-11-20 23:59:59.000000,1.154
2012-11-21 23:59:59.000000,1.156
2012-11-22 23:59:59.000000,1.158
2012-11-23 23:59:59.000000,1.164
2012-11-26 23:59:59.000000,1.161
2012-11-27 23:59:59.000000,1.166
2012-11-28 23:59:59.000000,1.163
2012-11-29 23:59:59.000000,1.167
2012-11-30 23:59:59.000000,1.169
2012-12-03 23:59:59.000000,1.173
2012-12-04 23:59:59.000000,1.169
2012-12-05 23:59:59.000000,1.171
2012-12-06 23:59:59.000000,1.17
2012-12-07 23:59:59.000000,1.183
2012-12-10 23:59:59.000000,1.182
2012-12-11 23:59:59.000000,1.183
2012-12-12 23:59:59.000000,1.183
2012-12-13 23:59:59.000000,1.184
2012-12-14 23:59:59.000000,1.183
2012-12-17 23:59:59.000000,1.178
2012-12-18 23:59:59.000000,1.183
2012-12-19 23:59:59.000000,1.184
2012-12-20 23:59:59.000000,1.19
2012-12-21 23:59:59.000000,1.193
2012-12-24 23:59:59.000000,1.202
2012-12-27 23:59:59.000000,1.204
2012-12-28 23:59:59.000000,1.209
2012-12-31 23:59:59.000000,1.198
2013-01-02 23:59:59.000000,1.215
