date,value
2020-06-01 00:00:00.000000,1.568
2020-05-29 00:00:00.000000,1.538
2020-05-28 00:00:00.000000,1.549
2020-05-27 00:00:00.000000,1.542
2020-05-26 00:00:00.000000,1.538
2020-05-22 00:00:00.000000,1.527
2020-05-21 00:00:00.000000,1.552
2020-05-20 00:00:00.000000,1.553
2020-05-19 00:00:00.000000,1.542
2020-05-18 00:00:00.000000,1.523
2020-05-15 00:00:00.000000,1.508
2020-05-14 00:00:00.000000,1.506
2020-05-13 00:00:00.000000,1.513
2020-05-12 00:00:00.000000,1.508
2020-05-11 00:00:00.000000,1.518
2020-05-07 00:00:00.000000,1.483
2020-05-06 00:00:00.000000,1.485
2020-05-05 00:00:00.000000,1.467
2020-05-01 00:00:00.000000,1.48
2020-04-30 00:00:00.000000,1.517
2020-04-29 00:00:00.000000,1.5
2020-04-28 00:00:00.000000,1.474
2020-04-27 00:00:00.000000,1.462
2020-04-24 00:00:00.000000,1.459
2020-04-23 00:00:00.000000,1.472
2020-04-22 00:00:00.000000,1.46
2020-04-21 00:00:00.000000,1.45
2020-04-20 00:00:00.000000,1.466
2020-04-17 00:00:00.000000,1.481
2020-04-16 00:00:00.000000,1.444
2020-04-15 00:00:00.000000,1.447
2020-04-14 00:00:00.000000,1.452
2020-04-09 00:00:00.000000,1.448
2020-04-08 00:00:00.000000,1.437
2020-04-07 00:00:00.000000,1.468
2020-04-06 00:00:00.000000,1.403
2020-04-03 00:00:00.000000,1.381
2020-04-02 00:00:00.000000,1.371
2020-04-01 00:00:00.000000,1.361
2020-03-31 00:00:00.000000,1.391
2020-03-30 00:00:00.000000,1.361
2020-03-27 00:00:00.000000,1.406
2020-03-26 00:00:00.000000,1.425
2020-03-25 00:00:00.000000,1.414
2020-03-24 00:00:00.000000,1.399
2020-03-23 00:00:00.000000,1.355
2020-03-20 00:00:00.000000,1.418
2020-03-19 00:00:00.000000,1.355
2020-03-18 00:00:00.000000,1.343
2020-03-17 00:00:00.000000,1.367
2020-03-16 00:00:00.000000,1.36
2020-03-13 00:00:00.000000,1.473
2020-03-12 00:00:00.000000,1.42
2020-03-11 00:00:00.000000,1.498
2020-03-10 00:00:00.000000,1.518
2020-03-09 00:00:00.000000,1.468
2020-03-06 00:00:00.000000,1.578
2020-03-05 00:00:00.000000,1.634
2020-03-04 00:00:00.000000,1.659
2020-03-03 00:00:00.000000,1.646
