date,value
2014-04-01 23:59:59.000000,130.9989
2014-04-02 23:59:59.000000,130.8119
2014-04-03 23:59:59.000000,130.9051
2014-04-04 23:59:59.000000,131.2495
2014-04-07 23:59:59.000000,131.4033
2014-04-08 23:59:59.000000,131.3926
2014-04-09 23:59:59.000000,131.3815
2014-04-10 23:59:59.000000,131.6792
2014-04-11 23:59:59.000000,131.7633
2014-04-14 23:59:59.000000,131.7055
2014-04-15 23:59:59.000000,131.8676
2014-04-16 23:59:59.000000,131.8298
2014-04-17 23:59:59.000000,131.5795
2014-04-21 23:59:59.000000,131.6424
2014-04-22 23:59:59.000000,131.5912
2014-04-23 23:59:59.000000,131.7276
2014-04-24 23:59:59.000000,131.7224
2014-04-25 23:59:59.000000,131.8432
2014-04-28 23:59:59.000000,131.7585
2014-04-29 23:59:59.000000,131.7729
2014-04-30 23:59:59.000000,131.9608
2014-05-01 23:59:59.000000,132.1077
2014-05-02 23:59:59.000000,132.2330
2014-05-05 23:59:59.000000,132.2051
2014-05-06 23:59:59.000000,132.2813
2014-05-07 23:59:59.000000,132.3010
2014-05-08 23:59:59.000000,132.4481
2014-05-09 23:59:59.000000,132.3807
2014-05-12 23:59:59.000000,132.2674
2014-05-13 23:59:59.000000,132.5159
2014-05-14 23:59:59.000000,132.8417
2014-05-15 23:59:59.000000,132.9897
2014-05-16 23:59:59.000000,132.8919
2014-05-19 23:59:59.000000,132.8129
2014-05-20 23:59:59.000000,132.7689
2014-05-21 23:59:59.000000,132.7009
2014-05-22 23:59:59.000000,132.6840
2014-05-23 23:59:59.000000,132.8048
2014-05-26 23:59:59.000000,132.8856
2014-05-27 23:59:59.000000,133.0003
2014-05-28 23:59:59.000000,133.3538
2014-05-29 23:59:59.000000,133.3045
2014-05-30 23:59:59.000000,133.2356
2014-06-02 23:59:59.000000,133.0942
2014-06-03 23:59:59.000000,132.8386
2014-06-04 23:59:59.000000,132.7600
2014-06-05 23:59:59.000000,132.9132
2014-06-06 23:59:59.000000,133.1371
2014-06-09 23:59:59.000000,133.1416
2014-06-10 23:59:59.000000,132.9883
2014-06-11 23:59:59.000000,133.0000
2014-06-12 23:59:59.000000,133.1229
2014-06-13 23:59:59.000000,133.1000
2014-06-16 23:59:59.000000,133.1754
2014-06-17 23:59:59.000000,132.9538
2014-06-18 23:59:59.000000,133.1375
2014-06-19 23:59:59.000000,133.1853
2014-06-20 23:59:59.000000,133.1812
2014-06-23 23:59:59.000000,133.2310
2014-06-24 23:59:59.000000,133.3921
2014-06-25 23:59:59.000000,133.5917
2014-06-26 23:59:59.000000,133.7458
2014-06-27 23:59:59.000000,133.7292
2014-06-30 23:59:59.000000,133.7690
2014-07-01 23:59:59.000000,133.6764
2014-07-02 23:59:59.000000,133.4218
2014-07-03 23:59:59.000000,133.3886
2014-07-04 23:59:59.000000,133.4324
2014-07-07 23:59:59.000000,133.5149
2014-07-08 23:59:59.000000,133.7383
2014-07-09 23:59:59.000000,133.7404
2014-07-10 23:59:59.000000,133.7959
2014-07-11 23:59:59.000000,133.9210
2014-07-14 23:59:59.000000,133.8672
2014-07-15 23:59:59.000000,133.8287
2014-07-16 23:59:59.000000,133.9334
